text,transakce,velikost_m2,dispozice,mesto,cena
Prodej o velikosti 60 m² v Praha 2 za 15000000 korun,prodej,60,,Praha 2,15000000
Prodej o velikosti 60 m² 1+kk za 10000000 korun,prodej,60,1+kk,,10000000
Prodej o velikosti 60 m² 2+kk v Praha 2 za 11000000 korun,prodej,60,2+kk,Praha 2,11000000
Pronájem o velikosti 44 m² 2+1 v Praha 2 za 18988 korun,pronájem,44,2+1,Praha 2,18988
Prodej o velikosti 60 m² 2+kk v Praha 3 za 8000000 korun,prodej,60,2+kk,Praha 3,8000000
Prodej o velikosti 70 m² 1+kk v Praha 4 za 7000000 korun,prodej,70,1+kk,Praha 4,7000000
Prodej o velikosti 70 m² 1+kk v Brno za 8000000 korun,prodej,70,1+kk,Brno,8000000
Prodej o velikosti 50 m² 1+kk v Praha 2,prodej,50,1+kk,Praha 2,
Prodej o velikosti 44 m² 3+kk v Praha 2 za 11000000 korun,prodej,44,3+kk,Praha 2,11000000
Prodej o velikosti 30 m² 2+kk za 12000000 korun,prodej,30,2+kk,,12000000
Pronájem o velikosti 60 m² 2+kk za 30372 korun,pronájem,60,2+kk,,30372
o velikosti 44 m² 2+1 v Praha 2 za 14795 korun,,44,2+1,Praha 2,14795
Prodej o velikosti 44 m² 1+kk v Praha 1 za 11000000 korun,prodej,44,1+kk,Praha 1,11000000
Pronájem o velikosti 30 m² 1+kk za 45300 korun,pronájem,30,1+kk,,45300
Prodej 1+kk v Praha 4 za 12000000 korun,prodej,,1+kk,Praha 4,12000000
Prodej o velikosti 70 m² 3+kk v Praha 4 za 8000000 korun,prodej,70,3+kk,Praha 4,8000000
Prodej o velikosti 50 m² 1+kk v Praha 2 za 15000000 korun,prodej,50,1+kk,Praha 2,15000000
Prodej o velikosti 50 m² 2+1 v Praha 1,prodej,50,2+1,Praha 1,
Pronájem 1+kk v Brno za 28015 korun,pronájem,,1+kk,Brno,28015
Prodej o velikosti 44 m² 3+kk v Ostrava za 14000000 korun,prodej,44,3+kk,Ostrava,14000000
Pronájem o velikosti 50 m² 2+1 v Brno,pronájem,50,2+1,Brno,
Pronájem o velikosti 60 m² 3+kk v Brno za 49742 korun,pronájem,60,3+kk,Brno,49742
Prodej o velikosti 44 m² 2+kk v Ostrava za 13000000 korun,prodej,44,2+kk,Ostrava,13000000
Prodej o velikosti 44 m² 2+1 v Praha 1 za 15000000 korun,prodej,44,2+1,Praha 1,15000000
Prodej o velikosti 60 m² 2+kk v Praha 1 za 6000000 korun,prodej,60,2+kk,Praha 1,6000000
Pronájem o velikosti 44 m² 3+kk v Praha 4 za 20639 korun,pronájem,44,3+kk,Praha 4,20639
Prodej o velikosti 70 m² 2+1 v Ostrava za 6000000 korun,prodej,70,2+1,Ostrava,6000000
Pronájem o velikosti 50 m² v Praha 2 za 42663 korun,pronájem,50,,Praha 2,42663
Prodej o velikosti 50 m² 1+kk v Praha 2 za 9000000 korun,prodej,50,1+kk,Praha 2,9000000
o velikosti 44 m² 2+1 v Brno,,44,2+1,Brno,
Pronájem o velikosti 50 m² 2+1 v Praha 4 za 16403 korun,pronájem,50,2+1,Praha 4,16403
Pronájem o velikosti 50 m² 2+1 v Praha 4 za 47552 korun,pronájem,50,2+1,Praha 4,47552
Pronájem o velikosti 70 m² 1+kk v Praha 3 za 44788 korun,pronájem,70,1+kk,Praha 3,44788
Prodej o velikosti 44 m² 2+1 v Praha 2 za 6000000 korun,prodej,44,2+1,Praha 2,6000000
o velikosti 44 m² 2+1 v Praha 2,,44,2+1,Praha 2,
